cell_id	clone_id	dataset_id
SA906-A96175C-R62-C18	L	SA906a
SA906-A96175C-R62-C20	B	SA906a
SA906-A96175C-R62-C21	L	SA906a
SA906-A96175C-R62-C23	B	SA906a
SA906-A96175C-R62-C24	F	SA906a
SA906-A96175C-R62-C26	F	SA906a
SA906-A96175C-R62-C27	D	SA906a
SA906-A96175C-R62-C30	G	SA906a
SA906-A96175C-R62-C32	I	SA906a
SA906-A96175C-R62-C33	I	SA906a
SA906-A96175C-R62-C35	B	SA906a
SA906-A96175C-R62-C37	C	SA906a
SA906-A96175C-R62-C40	B	SA906a
SA906-A96175C-R62-C44	D	SA906a
SA906-A96175C-R62-C47	L	SA906a
SA906-A96175C-R62-C48	G	SA906a
SA906-A96175C-R62-C54	G	SA906a
SA906-A96175C-R62-C57	B	SA906a
SA906-A96175C-R62-C61	J	SA906a
SA906-A96175C-R62-C62	F	SA906a
SA906-A96175C-R62-C64	D	SA906a
SA906-A96175C-R62-C65	K	SA906a
SA906-A96175C-R62-C67	D	SA906a
SA906-A96175C-R62-C68	G	SA906a
SA906-A96175C-R63-C07	G	SA906a
SA906-A96175C-R63-C09	B	SA906a
SA906-A96175C-R63-C10	K	SA906a
SA906-A96175C-R63-C11	G	SA906a
SA906-A96175C-R63-C13	C	SA906a
SA906-A96175C-R63-C15	C	SA906a
SA906-A96175C-R63-C16	J	SA906a
SA906-A96175C-R63-C17	G	SA906a
SA906-A96175C-R63-C18	G	SA906a
SA906-A96175C-R63-C19	J	SA906a
SA906-A96175C-R63-C27	G	SA906a
SA906-A96175C-R63-C28	B	SA906a
SA906-A96175C-R63-C29	D	SA906a
SA906-A96175C-R63-C30	L	SA906a
SA906-A96175C-R63-C31	C	SA906a
SA906-A96175C-R63-C32	A	SA906a
SA906-A96175C-R63-C34	C	SA906a
SA906-A96175C-R63-C35	K	SA906a
SA906-A96175C-R63-C41	D	SA906a
SA906-A96175C-R63-C43	K	SA906a
SA906-A96175C-R63-C44	G	SA906a
SA906-A96175C-R63-C45	J	SA906a
SA906-A96175C-R63-C47	G	SA906a
SA906-A96175C-R63-C51	G	SA906a
SA906-A96175C-R63-C54	C	SA906a
SA906-A96175C-R63-C57	G	SA906a
SA906-A96175C-R63-C58	B	SA906a
SA906-A96175C-R63-C59	G	SA906a
SA906-A96175C-R63-C66	D	SA906a
SA906-A96175C-R63-C68	D	SA906a
SA906-A96175C-R63-C70	D	SA906a
SA906-A96175C-R64-C07	D	SA906a
SA906-A96175C-R64-C09	B	SA906a
SA906-A96175C-R64-C10	D	SA906a
SA906-A96175C-R64-C13	L	SA906a
SA906-A96175C-R64-C16	G	SA906a
SA906-A96175C-R64-C17	A	SA906a
SA906-A96175C-R64-C19	A	SA906a
SA906-A96175C-R64-C20	D	SA906a
SA906-A96175C-R64-C21	C	SA906a
SA906-A96175C-R64-C22	G	SA906a
SA906-A96175C-R64-C23	G	SA906a
SA906-A96175C-R64-C28	G	SA906a
SA906-A96175C-R64-C32	F	SA906a
SA906-A96175C-R64-C33	G	SA906a
SA906-A96175C-R64-C34	B	SA906a
SA906-A96175C-R64-C36	G	SA906a
SA906-A96175C-R64-C37	D	SA906a
SA906-A96175C-R64-C38	C	SA906a
SA906-A96175C-R64-C41	G	SA906a
SA906-A96175C-R64-C42	I	SA906a
SA906-A96175C-R64-C44	J	SA906a
SA906-A96175C-R64-C45	G	SA906a
SA906-A96175C-R64-C46	G	SA906a
