cell_id	clone_id
SA1090-A96213A-R20-C26	F
SA1090-A96213A-R20-C31	G
SA1090-A96213A-R20-C32	G
SA1090-A96213A-R20-C33	F
SA1090-A96213A-R20-C36	G
SA1090-A96213A-R20-C37	G
SA1090-A96213A-R20-C38	G
SA1090-A96213A-R20-C40	F
SA1090-A96213A-R20-C48	G
SA1090-A96213A-R20-C49	F
SA1090-A96213A-R20-C50	G
SA1090-A96213A-R20-C54	G
SA1090-A96213A-R20-C56	G
SA1090-A96213A-R20-C57	G
SA1090-A96213A-R20-C61	F
SA1090-A96213A-R20-C62	G
SA1090-A96213A-R20-C63	G
SA1090-A96213A-R20-C64	F
SA1090-A96213A-R20-C65	F
SA1090-A96213A-R20-C69	F
SA1090-A96213A-R22-C20	G
SA1090-A96213A-R22-C21	F
SA1090-A96213A-R22-C22	G
SA1090-A96213A-R22-C26	G
SA1090-A96213A-R22-C27	G
SA1090-A96213A-R22-C28	F
SA1090-A96213A-R22-C30	F
SA1090-A96213A-R22-C33	G
SA1090-A96213A-R22-C34	F
SA1090-A96213A-R22-C38	G
SA1090-A96213A-R22-C39	G
SA1090-A96213A-R22-C41	G
SA1090-A96213A-R22-C43	F
SA1090-A96213A-R22-C44	F
SA1090-A96213A-R22-C45	G
SA1090-A96213A-R22-C46	G
SA1090-A96213A-R22-C47	F
SA1090-A96213A-R22-C48	F
SA1090-A96213A-R22-C49	F
SA1090-A96213A-R22-C50	F
SA1090-A96213A-R24-C12	G
SA1090-A96213A-R24-C13	F
SA1090-A96213A-R24-C14	F
SA1090-A96213A-R24-C15	F
SA1090-A96213A-R24-C17	F
SA1090-A96213A-R24-C19	G
SA1090-A96213A-R24-C20	F
SA1090-A96213A-R24-C22	F
SA1090-A96213A-R24-C24	G
SA1090-A96213A-R24-C25	G
SA1090-A96213A-R24-C26	G
SA1090-A96213A-R24-C27	F
SA1090-A96213A-R24-C29	G
SA1090-A96213A-R24-C30	F
SA1090-A96213A-R24-C32	G
SA1090-A96213A-R24-C33	F
SA1090-A96213A-R24-C36	F
SA1090-A96213A-R24-C38	G
SA1090-A96213A-R24-C40	G
SA1090-A96213A-R24-C42	G
SA1090-A96213A-R24-C43	F
SA1090-A96213A-R24-C44	F
SA1090-A96213A-R24-C46	F
SA1090-A96213A-R24-C47	G
SA1090-A96213A-R24-C48	G
SA1090-A96213A-R24-C53	F
SA1090-A96213A-R24-C54	F
SA1090-A96213A-R24-C55	F
SA1090-A96213A-R24-C56	F
SA1090-A96213A-R24-C57	F
SA1090-A96213A-R24-C59	F
SA1090-A96213A-R24-C61	F
SA1090-A96213A-R24-C63	F
SA1090-A96213A-R24-C64	G
SA1090-A96213A-R24-C65	G
SA1090-A96213A-R24-C66	F
SA1090-A96213A-R24-C68	G
SA1090-A96213A-R24-C70	F
SA1090-A96213A-R25-C09	F
SA1090-A96213A-R25-C12	G
SA1090-A96213A-R25-C13	F
SA1090-A96213A-R25-C14	G
SA1090-A96213A-R25-C15	G
SA1090-A96213A-R25-C16	G
SA1090-A96213A-R25-C18	F
SA1090-A96213A-R25-C21	G
SA1090-A96213A-R25-C22	G
SA1090-A96213A-R25-C23	F
SA1090-A96213A-R25-C24	F
SA1090-A96213A-R25-C33	G
SA1090-A96213A-R25-C39	G
SA1090-A96213A-R25-C44	G
SA1090-A96213A-R25-C51	G
SA1090-A96213A-R25-C57	F
SA1090-A96213A-R25-C61	F
SA1090-A96213A-R25-C65	G
SA1090-A96213A-R25-C67	F
SA1090-A96213A-R26-C14	F
SA1090-A96213A-R26-C37	F
SA1090-A96213A-R26-C43	F
SA1090-A96213A-R26-C45	F
SA1090-A96213A-R26-C46	G
SA1090-A96213A-R26-C50	G
SA1090-A96213A-R26-C62	G
SA1090-A96213A-R26-C64	F
SA1090-A96213A-R26-C66	G
SA1090-A96213A-R26-C68	G
SA1090-A96213A-R27-C07	G
SA1090-A96213A-R27-C33	G
SA1090-A96213A-R27-C35	G
SA1090-A96213A-R27-C45	G
SA1090-A96213A-R27-C47	F
SA1090-A96213A-R27-C55	G
SA1090-A96213A-R27-C62	F
SA1090-A96213A-R27-C63	F
SA1090-A96213A-R27-C64	F
SA1090-A96213A-R27-C65	G
SA1090-A96213A-R27-C66	G
