V1,single_cell_id,letters,datatag,sample_id
249,SA609X6XB03404-A98284A-R13-C32,A,SA000,SA609X6XB03404
250,SA609X5XB03230-A98289B-R41-C24,A,SA000,SA609X5XB03230
251,SA609X5XB03230-A98289B-R43-C49,A,SA000,SA609X5XB03230
252,SA609X5XB03230-A98289B-R47-C10,A,SA000,SA609X5XB03230
253,SA609X5XB03230-A98289B-R49-C42,A,SA000,SA609X5XB03230
254,SA609X6XB03404-A98284A-R07-C44,A,SA000,SA609X6XB03404
255,SA609X6XB03404-A98284A-R08-C52,A,SA000,SA609X6XB03404
256,SA609X6XB03404-A98284A-R13-C12,A,SA000,SA609X6XB03404
257,SA609X5XB03230-A98289B-R41-C09,A,SA000,SA609X5XB03230
258,SA609X5XB03230-A98289B-R44-C11,A,SA000,SA609X5XB03230
259,SA609X5XB03230-A98289B-R44-C30,A,SA000,SA609X5XB03230
260,SA609X5XB03230-A98289B-R50-C29,A,SA000,SA609X5XB03230
261,SA609X5XB03230-A98289B-R57-C27,A,SA000,SA609X5XB03230
262,SA609X5XB03230-A98289B-R58-C58,A,SA000,SA609X5XB03230
263,SA609X5XB03230-A98289B-R58-C56,A,SA000,SA609X5XB03230
264,SA609X6XB03404-A98284A-R07-C61,A,SA000,SA609X6XB03404
265,SA609X6XB03404-A98284A-R08-C40,A,SA000,SA609X6XB03404
266,SA609X6XB03404-A98284A-R09-C07,A,SA000,SA609X6XB03404
267,SA609X6XB03404-A98284A-R11-C49,A,SA000,SA609X6XB03404
268,SA609X6XB03404-A98284A-R19-C68,A,SA000,SA609X6XB03404
269,SA609X5XB03230-A98289B-R51-C07,A,SA000,SA609X5XB03230
270,SA609X6XB03404-A98284A-R08-C21,A,SA000,SA609X6XB03404
271,SA609X6XB03404-A98284A-R08-C63,A,SA000,SA609X6XB03404
272,SA609X6XB03404-A98284A-R12-C61,A,SA000,SA609X6XB03404
273,SA609X5XB03230-A98289B-R46-C69,A,SA000,SA609X5XB03230
274,SA609X5XB03230-A98289B-R51-C26,A,SA000,SA609X5XB03230
275,SA609X5XB03230-A98289B-R51-C54,A,SA000,SA609X5XB03230
276,SA609X5XB03230-A98289B-R56-C12,A,SA000,SA609X5XB03230
277,SA609X6XB03404-A98284A-R08-C30,A,SA000,SA609X6XB03404
278,SA609X6XB03404-A98284A-R10-C36,A,SA000,SA609X6XB03404
279,SA609X6XB03404-A98284A-R10-C67,A,SA000,SA609X6XB03404
280,SA609X6XB03404-A98284A-R11-C33,A,SA000,SA609X6XB03404
281,SA609X6XB03404-A98284A-R12-C63,A,SA000,SA609X6XB03404
282,SA609X6XB03404-A98284A-R13-C33,A,SA000,SA609X6XB03404
283,SA609X6XB03404-A98284A-R14-C17,A,SA000,SA609X6XB03404
284,SA609X5XB03230-A98289B-R53-C32,A,SA000,SA609X5XB03230
285,SA609X5XB03230-A98289B-R59-C49,A,SA000,SA609X5XB03230
286,SA609X6XB03404-A98284A-R10-C55,A,SA000,SA609X6XB03404
287,SA609X6XB03404-A98284A-R24-C33,A,SA000,SA609X6XB03404
288,SA609X5XB03230-A98289B-R42-C42,A,SA000,SA609X5XB03230
289,SA609X5XB03230-A98289B-R43-C13,A,SA000,SA609X5XB03230
290,SA609X5XB03230-A98289B-R44-C15,A,SA000,SA609X5XB03230
291,SA609X5XB03230-A98289B-R45-C45,A,SA000,SA609X5XB03230
292,SA609X5XB03230-A98289B-R47-C61,A,SA000,SA609X5XB03230
293,SA609X5XB03230-A98289B-R48-C15,A,SA000,SA609X5XB03230
294,SA609X5XB03230-A98289B-R48-C50,A,SA000,SA609X5XB03230
295,SA609X5XB03230-A98289B-R49-C19,A,SA000,SA609X5XB03230
296,SA609X5XB03230-A98289B-R49-C50,A,SA000,SA609X5XB03230
297,SA609X5XB03230-A98289B-R49-C65,A,SA000,SA609X5XB03230
298,SA609X5XB03230-A98289B-R50-C36,A,SA000,SA609X5XB03230
299,SA609X5XB03230-A98289B-R56-C23,A,SA000,SA609X5XB03230
300,SA609X5XB03230-A98289B-R57-C46,A,SA000,SA609X5XB03230
301,SA609X5XB03230-A98289B-R59-C37,A,SA000,SA609X5XB03230
302,SA609X5XB03230-A98289B-R59-C46,A,SA000,SA609X5XB03230
303,SA609X5XB03230-A98289B-R59-C48,A,SA000,SA609X5XB03230
304,SA609X6XB03404-A98284A-R03-C07,A,SA000,SA609X6XB03404
305,SA609X6XB03404-A98284A-R04-C07,A,SA000,SA609X6XB03404
306,SA609X6XB03404-A98284A-R04-C09,A,SA000,SA609X6XB03404
307,SA609X6XB03404-A98284A-R04-C11,A,SA000,SA609X6XB03404
308,SA609X6XB03404-A98284A-R06-C40,A,SA000,SA609X6XB03404
309,SA609X6XB03404-A98284A-R07-C31,A,SA000,SA609X6XB03404
310,SA609X6XB03404-A98284A-R09-C22,A,SA000,SA609X6XB03404
311,SA609X6XB03404-A98284A-R09-C27,A,SA000,SA609X6XB03404
312,SA609X6XB03404-A98284A-R09-C36,A,SA000,SA609X6XB03404
313,SA609X6XB03404-A98284A-R10-C65,A,SA000,SA609X6XB03404
314,SA609X6XB03404-A98284A-R11-C57,A,SA000,SA609X6XB03404
